Volume;MaximumRainfallIntensity;Runoff;RunoffVolume;MaximumRunoffIntensity;P-0;HR-1;HR-2;HR-3;HR-4;HR-5;T-1;T-2;T-3;T-4;T-5;PB-1;PB-2;PB-3;PB-4;PB-5;VV-1;VV-2;VV-3;VV-4;VV-5
0.1;0.1;0;0;0;0.1;95;97;98;98;95;12.7;12.5;11.6;11.2;11.3;929;929;929;929;930;2.56;2.28;1.78;1.3;1.77
0.4;0.2;0;0;0;0.1;92;93;93;95;97;13.4;13.5;13.1;12.7;12.5;932;932;930;929;929;2.44;2.45;2.27;2.56;2.28
0.1;0.1;0;0;0;0.1;86;91;95;98;100;15.8;15;14.3;13.6;12.7;934;934;934;934;934;4.69;3.55;3.84;3.13;2.31
1;0.7;0;0;0;0.1;73;72;73;71;69;12.4;14;15.3;16;16.4;936;934;933;933;933;3.23;4.25;4.7;5.04;4.57
0.8;0.7;0;0;0;0.1;86;85;83;81;80;9.4;9.5;9.8;10.1;10.4;945;944;944;943;943;1.74;1.74;2.57;2.87;2.91
0.3;0.3;0;0;0;0.3;72;74;77;79;81;13.7;13.4;12.9;12.6;11.5;945;945;946;946;946;3.88;3.96;4.22;3.29;2.9
1.8;0.4;0;0;0;0.1;79;75;72;74;77;12.7;13.2;13.7;13.4;12.9;946;945;945;945;946;3.25;3.58;3.88;3.96;4.22
0.7;0.3;0;0;0;0.3;59;62;61;60;59;9.2;9.4;9.7;10.2;10.8;953;953;953;953;953;2.01;1.96;1.96;1.7;1.8
1.9;0.9;0;0;0;0.1;73;68;58;58;56;11.5;12.6;14.3;14.1;14.2;956;956;956;956;956;0.69;0.74;1.07;1.15;1.22
9.4;3.9;1;3.6;3.5;1.9;72;66;60;59;58;5.6;6.9;8.1;9.9;11.1;958;958;958;958;957;0.74;0.78;0.83;0.64;0.5
3.7;2.2;0;0;0;1.3;79;79;79;79;81;0.4;0.5;0.9;1.2;1.6;958;958;958;958;958;0.74;0.79;0.71;0.65;0.63
1.4;0.8;0;0;0;0.6;71;67;61;53;35;6.4;7.4;8;9.7;15.8;958;958;958;958;958;0.82;0.61;0.5;0.51;0.53
0.3;0.3;0;0;0;0.3;52;56;58;62;70;14;12.2;10.9;9.2;6.1;959;960;961;961;961;0.84;0.95;0.78;0.75;0.62
0.1;0.1;0;0;0;0.1;55;53;52;56;58;14.3;13.7;14;12.2;10.9;959;959;959;960;961;0.93;1.13;0.84;0.95;0.78
1.2;0.7;0;0;0;0.1;88;88;84;83;79;3.2;3.6;4.9;5.4;6.3;959;959;960;959;959;0.76;0.74;0.65;0.65;0.66
0.3;0.2;0;0;0;0.2;96;93;94;91;90;3;2.5;1.3;1.4;1.7;960;960;960;959;959;0.68;0.58;0.52;0.54;0.59
1.6;1.5;0;0;0;0.1;91;96;99;98;96;4.5;3.8;3.1;2.9;3;961;962;961;961;960;0.95;0.85;0.83;0.78;0.68
0.4;0.4;0;0;0;0.4;82;80;83;84;89;6.5;7;6.3;5.9;4.9;960;960;960;960;961;0.8;0.86;0.78;0.7;0.85
1.9;1.7;0;0;0;0.2;74;87;91;91;91;5.2;1.3;0.4;0.7;0.8;963;962;962;961;961;0.71;0.74;0.66;0.65;0.59
0.2;0.1;0;0;0;0.1;60;53;50;52;54;10.4;12;12.7;12.3;11.6;960;960;959;960;960;0.85;1.59;1.9;2.43;2.68
